Entrada	Salida
010101010101	010101010101
010111001101	010111001101
001011111100	001011111100
001011111001	001011111001
011010110000	011010110000
011100110010	011100110010
001110011011	001110011011
001100111101	001100111101
011011100000	011011100000
011101000101	011101000101
001111001010	001111001010
001100100110	001100100110
010111001000	010111001000
010111101011	010111101011
001101111001	001101111001
001011110001	001011110001
010000000101	010000000101
001111001001	001111001001
001100010100	001100010100
001100100010	001100100010
001010010000	001010010000
000111100101	000111100101
001100100000	001100100000
010000010101	010000010101
001000101010	001000101010
000100001001	000100001001
001111010000	001111010000
010110011111	010110011111
001011100101	001011100101
000101011111	000101011111
010011010100	010011010100
011100001010	011100001010
010000100101	010000100101
001001101111	001001101111
010110001011	010110001011
011101111000	011101111000
010100000101	010100000101
001110000101	001110000101
010101110100	010101110100
011001110011	011001110011
010011110100	010011110100
010000101111	010000101111
010010010111	010010010111
010001000101	010001000101
010000000111	010000000111
010001110110	010001110110
001110000010	001110000010
000111100010	000111100010
001011100110	001011100110
010010111001	010010111001
001011110100	001011110100
000001100100	000001100100
001001010100	001001010100
010101000110	010101000110
001101010011	001101010011
000001101011	000001101011
001010110001	001010110001
011000000101	011000000101
010001100010	010001100010
000111001011	000111001011
001110111011	001110111011
011001110110	011001110110
010101100000	010101100000
001110110100	001110110100
010011001110	010011001110
011000001010	011000001010
010110000011	010110000011
010100110001	010100110001
010101010001	010101010001
010010011001	010010011001
010010000100	010010000100
010110111101	010110111101
010100100010	010100100010
001010011101	001010011101
001011010111	001011010111
010101110110	010101110110
010010011011	010010011011
000011111111	000011111111
000101101100	000101101100
010011101110	010011101110
010001001000	010001001000
000010010111	000010010111
000100011101	000100011101
010010101011	010010101011
010001101111	010001101111
000110011111	000110011111
001000101000	001000101000
010011001010	010011001010
010011010111	010011010111
001110001110	001110001110
010000001001	010000001001
010011110100	010011110100
010011110000	010011110000
010101100011	010101100011
010111010001	010111010001
010010101111	010010101111
010001000001	010001000001
011000111010	011000111010
011010110011	011010110011
001111001111	001111001111
